"State","Municipality","Name Id","Place Name","Place Name Status","Feature Type Code","Feature Type","Longitude","Latitude","Place Id","Historical Information","Origin Language","Australian Indigenous Language","Anzac Related Name","Date First Recorded Day","Date First Recorded Month","Date First Recorded Year","Source","Author","Title","Date Published Day","Date Published Month","Date Published Year","Publisher","Place of Publication","Pages(s)","Editor","Chapter Title","Journal Name","Issue","Year","Newspaper","File Number","Site Owner","Page Title","Site Title","Url","Location","Type of Artefact","Cartographer","Scale","Informant","Tape Title","Tape Number","Municipal Name","Endorsed by Council","Council Minutes","Organisation Name","Endorsed by GPNAP"
"VIC","GREATER GEELONG CITY","121075","13TH BEACH SURF LIFE SAVING CLUB","REGISTERED","PARK","PARK","144.4525565","-38.2827299","120552","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","HOBSONS BAY CITY","13","A B SHAW RESERVE","REGISTERED","PARK","PARK","144.7843056","-37.86375","25544","'Elected to Council 1973.  Mayor - City of Altona 1978 - 79 and 1986 - 87.'","","","","","","","Manuscript","Place Names Committee Files","Submission","26","5","1988","","","1","","","","","","","PNC file number 1098","","","","","","","","","","","","","","","",""
"VIC","MORNINGTON PENINSULA SHIRE","121713","A C CAMPBELL RESERVE","REGISTERED","PARK","PARK","145.0310906","-38.2398582","121108","Archibald Colin Campbell was a Mornington Shire Councillor in the South Riding from 1948-51, and again from 1966-71. He represented Mt Martha Riding from 1955-1966.  He was Mornington Shire President in 1957, and again in 1965.  He opened the Beleura Hill Pre-school Centre, Mornington as Shire President in 1966.","","","","","","","Oral","","","","","","","","","","","","","","","","","","","","","","","","Historical Societies","","","","","","",""
"VIC","CASEY CITY","14","A E BROWN RESERVE","REGISTERED","PARK","PARK","145.3548611","-38.0273611","11650","Place names Submission from 1977 reads: 'Mr. Brown has had 54 years association with the Berwick Football Club, of which he is a life member; he also has a Life Membership with the Victorian Country Football League, the Berwick Cricket Club and the Agricultural Society.  He has served as a delegate, committee man and Vice President of the Dandenong & District Football League and in similar capacities with the South-West Gippsland Football League.  He has been gatekeeper with the league for the past 23 years.'","","","","","","","Manuscript","Place Names Committee Files","Submission","28","11","1977","","","1","","","","","","","PNC file number 739","","","","","","","","","","","","","","","",""
"VIC","MARIBYRNONG CITY","15","A E SHEPHERD GARDENS","REGISTERED","PARK","PARK","144.8684722","-37.7895833","25626","'Mr. E. Shepard was a State Member for Sunshine when the Sunshine Seat was first named.  He was a member for Footscray which included Sunshine at that time, when then he was the Minister fro Education, Deputy Leader of the Opposition.  Most diligent worker for his electorate.  Lived on the border of Sunshine and West Footscray where these gardens are situated.'","","","","","","","Manuscript","Place Names Committee Files","Submission","11","8","1981","","","1","","","","","","","PNC file number 837","","","","","","","","","","","","","","","",""
"VIC","CORANGAMITE SHIRE","51252","A H BARRETT RESERVE","REGISTERED","PARK","PARK","143.0789056","-38.326025","51252","'The late Doctor Barrett who conducted a practise in this municipality for over forty (40) years, was known and loved by the residents of our district as a man of kindness and one who carried out his professional duties in a manner far beyond those normally expected.  During his lifetime, he received the O.B.E. and was granted the Shires first and only citizenship award.'","","","","","","","Manuscript","Place Names Committee Files","Submission","18","6","1968","","","1","","","","","","","PNC file number 72","","","","","","","","","","","","","","","",""
"VIC","HOBSONS BAY CITY","121091","A H FORD RESERVE","REGISTERED","PARK","PARK","144.813493","-37.8608556","120568","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","MOONEE VALLEY CITY","17","A J DAVIS RESERVE","REGISTERED","PARK","PARK","144.8734722","-37.7284722","14009","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","EAST GIPPSLAND SHIRE","120765","A J FREEMAN RESERVE","REGISTERED","PARK","PARK","147.7166894","-37.9136838","120242","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","LODDON SHIRE","18","A J MITCHELL PARK","REGISTERED","PARK","PARK","143.8734722","-36.5729167","5248","Named after Mr Alf Mitchell, a well respected gentleman of the township of Inglewood, who beautified the area at his own cost.  The name was proposed by the Council of the Shire of Korong in November 1991.","","","","","","","Manuscript","Shire of Korong","Place Names Committee File","","11","1991","","","1-99","","","","","","","File 1337 Microfiche","","","","","","","","","","","","","","","",""
"VIC","BANYULE CITY","19","A K LINES RESERVE","REGISTERED","PARK","PARK","145.0840278","-37.7051389","19561","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","EAST GIPPSLAND SHIRE","120776","A M PEARSON HISTORICAL PARK","REGISTERED","PARK","PARK","147.592442","-37.100895","120253","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","EAST GIPPSLAND SHIRE","20","A M PEARSON PARK","REGISTERED","PARK","PARK","147.5931944","-37.1006944","23318","'This name has been chosen to commemorate the memory of an old local identity, who not only served the Omeo Shire Council for a record term in office from 1929 to 1960, but also the local community throughout much of his life.  The late Mr. A. M. (Mervyn) Pearson was seventy years of age when commissioned by the Shire of Omeo to write a history of the Shire, which he did with great distinction and which is entitled 'Echoes from the Mountains'.  He spent one third of his life as an Omeo Shire Councillor and on six occasions was Shire President.'","","","","","","","Manuscript","Place Names Committee Files","Submission","6","12","1979","","","1","","","","","","","PNC file number 788","","","","","","","","","","","","","","","",""
"VIC","MORNINGTON PENINSULA SHIRE","121501","A R AND F DITTERICH RESERVE","REGISTERED","PARK","PARK","144.9694387","-38.4002243","120897","Arthur Ralph Ditterich was a Shire of Flinders Councillor from 1961-1964.
A.R. & F. Ditterich are Life Members of the Main Ridge Cricket Club - Ralph and Frank Ditterich were keen cricketers and involved in community affairs. They were involved in the planning and building of the bowls club and other works associated with the grounds. Both had orchards and lived in Valley View Lane, Main Ridge.  Prior to 1926 Main Ridge was known as Main Creek and the name change was brought about by Frank Ditterich.  Seven acres (2.8 hectares) was bought from C. Rigby in 1932 for a recreation ground at Main Ridge for the sum of 50 pounds ($100). A 10 pound ($20) deposit was raised by the community funded in part by a 'sheep guessing competition'. The balance payable over 5 years was raised by community fundraising efforts.
In 1957 the gates were given as a gift by Mrs Lillian Adams of Main Ridge.
On 28th April 1959 the Shire President was invited to unveil a plaque in memory of Frank Ditterich.  Frank was born in Long Gully, Bendigo on 17th September 1895 and died on 28th December 1956 at Mentone. He married his wife Jessie in 1930. They had two sons Richard and David.
Ralph was born in St Arnaud on 4th July, 1893 and married his wife Margaret in Palmerston, New Zealand in 1926. Their son Allan was born in 1929 and died in 1947. Ralph died in Redcliffe, Queensland in 1974.","","","","","","","Oral","","","","","","","","","","","","","","","","","","","","","","","","Historical Societies","","","","","","",""
"VIC","UNKNOWN","51347","A R MCNABB RESERVE","REGISTERED","PARK","PARK","","","51347","Councillor A. R. McNabb, Mayor of the City 1947-48.","","","","","","","Council","","","","","","","","","","","","","","","","","","","","","","","","","","","City of Footscray","Yes","PNC 1331","",""
"VIC","HOBSONS BAY CITY","121092","A W BOND RESERVE","REGISTERED","PARK","PARK","144.8451874","-37.8276043","120569","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","QUEENSCLIFFE BOROUGH","22","A W HODGETTS RESERVE","REGISTERED","PARK","PARK","144.66375","-38.2651389","17543","'It is proposed to honour Albert William Hodgetts (born 1911) who was involved in the public life of the Borough for many years.  The proposal has received support from a number of people, including Members of Parliament.'","","","","","","","Manuscript","Place Names Committee Files","Submission","8","8","1980","","","1","","","","","","","PNC file number 785","","","","","","","","","","","","","","","",""
"VIC","HOBSONS BAY CITY","23","A W KNIGHT RESERVE","REGISTERED","PARK","PARK","144.78625","-37.8801389","18895","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","HOBSONS BAY CITY","121093","A W LANGSHAW RESERVE","REGISTERED","PARK","PARK","144.8515345","-37.8361236","120570","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","MORELAND CITY","24","A W SANGER RESERVE","REGISTERED","PARK","PARK","144.9554167","-37.7234722","25202","'It is named after Arthur William Sanger, J.P., who was a Councillor from 1961 until his death on 18/7/69.  He was Mayor in 1964/65.  He was an active Councillor and supported every worth-while project.'","","","","","","","Manuscript","Place Names Committee Files","Submission","21","12","1976","","","1","","","","","","","PNC file number 505","","","","","","","","","","","","","","","",""
"VIC","GREATER GEELONG CITY","121000","ABE WOOD RESERVE","REGISTERED","PARK","PARK","144.3128119","-38.0573904","120477","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","MOONEE VALLEY CITY","38","ABERFELDIE PARK","REGISTERED","PARK","PARK","144.9009722","-37.7648611","9136","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","BENALLA RURAL CITY","123684","ABORIGINAL GARDEN","REGISTERED","PARK","PARK","145.9781361","-36.5476889","123010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","DAREBIN CITY","47","ABRAHAMS RESERVE","REGISTERED","PARK","PARK","144.9804167","-37.7581944","9144","'Named after the late Agnes Abrahams.  A pioneer resident of the Brunswick municipality well known for her philanthropic gestures.  Mrs. Abrahams lived all of her life in Brunswick and died at the age of 92.  Her father and brothers were instrumental in the building of many properties in the municipality.'","","","","","","","Manuscript","Place Names Committee Files","Submission","27","5","1980","","","1","","","","","","","PNC file number 806","","","","","","","","","","","","","","","",""
"VIC","YARRA RANGES SHIRE","50","ACACIA PICNIC AREA","REGISTERED","PARK","PARK","145.3204167","-37.8870833","9145","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","GREATER GEELONG CITY","120992","ACHILLES CRT PLAYGROUND","REGISTERED","PARK","PARK","144.5471859","-38.2703896","120469","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","CASEY CITY","103913","ACKLAND PARK","REGISTERED","PARK","PARK","145.3158333","-37.9816667","103745","Named after William John Ackland and Evelyn Pearl Ackland, who farmed the land, for over 50 years and who contributed to the local community.  ","","","","20","10","2011","Council","","","","","","","","1-4","","","","","","","","","","","","","","","","","","","Casey City Council ","Yes","21-10-6-34/10","",""
"VIC","HOBSONS BAY CITY","123676","ADA CAMBRIDGE FORECOURT","REGISTERED","PARK","PARK","144.8961167","-37.8585389","123004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","MORNINGTON PENINSULA SHIRE","121525","ADELAIDE RESERVE","REGISTERED","PARK","PARK","145.034157","-38.2310146","120921","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","FRANKSTON CITY","82","ADRIAN BUTLER OVAL","REGISTERED","PARK","PARK","145.1429167","-38.15375","16628","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","WHITEHORSE CITY","100000","ADRIAN DANAHER RESERVE","REGISTERED","PARK","PARK","145.2022222","-37.8361111","100000","Name honours Adrian Danaher (1928-2005), who lived in Ellad Close for 35 years, and who made a substantial contribution to the local community through sports coaching and other community involvement.  He had a strong interest in the use and maintenance of the reserve including watering the new trees and arranging an annual neighbourhood get-together.","","","","","","","OGN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","City of Whitehorse",""
"VIC","GREATER GEELONG CITY","100017","ADRIAN MANNIX RESERVE","REGISTERED","PARK","PARK","144.5527778","-38.1563889","100016","Name honours Adrian Mannix, who was a councillor on the Bellarine Rural City Council and was Mayor for one term. He was recognised for his work with Bellarine Peninsula communities, particularly in the Drysdale and Clifton Springs areas.","","","","","","","OGN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Greater Geelong City Council",""
"VIC","SOUTH GIPPSLAND SHIRE","90","AGNES SMITH RESERVE","REGISTERED","PARK","PARK","146.10375","-38.3623611","9177","'The name 'Agnes Smith Reserve' has been chosen because the late Agnes Smith is the wife of the original selector of the property and she is the great grandmother of the person now offering the land to the Council.  The late Agnes Smith was also responsible for starting the old Allambee South School, the first school in the district.'","","","","","","","Manuscript","Place Names Committee Files","Submission","9","3","1978","","","1","","","","","","","PNC file number 727","","","","","","","","","","","","","","","",""
"VIC","MAROONDAH CITY","97","AINSLIE PARK","REGISTERED","PARK","PARK","145.2634722","-37.7979167","9183","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","LATROBE CITY","110","AIRLIE BANK RESERVE","REGISTERED","PARK","PARK","146.4368056","-38.2293056","9190","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","GREATER GEELONG CITY","121001","AITKEN CRT RESERVE","REGISTERED","PARK","PARK","144.3923113","-38.1823168","120478","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","LODDON SHIRE","121210","AJ MITCHELL PARK","REGISTERED","PARK","PARK","143.8736776","-36.5731304","120684","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","CASEY CITY","121","AKOONAH PARK","REGISTERED","PARK","PARK","145.3659722","-38.0409722","9202","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","MORNINGTON PENINSULA SHIRE","121559","ALAMEDA RESERVE","REGISTERED","PARK","PARK","145.0417666","-38.2362895","120955","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","BASS COAST SHIRE","126","ALAN BIRT DAY PICNIC RESERVE","REGISTERED","PARK","PARK","145.6126389","-38.6748611","9204","Mr Birt was Chairman of the Cape Paterson Beach Reserve Advisory Committee and was 'an untiring worker for the Cape Patterson area over many years, and long serving office bearer and worker of the Cape Paterson Royal Life Saving Club.'","","","","","3","1975","Manuscript","Place Names Committee Files","Submission","21","9","1977","","","1","","","","","","","PNC file number 656","","","","","","","","","","","","","","","",""
"VIC","GREATER DANDENONG CITY","100096","ALAN CORRIGAN RESERVE","REGISTERED","PARK","PARK","145.1630556","-37.9833333","100088","Named after Alan Corrigan (1911-2004), an active local citizen as a member of the Rotary Club of Noble Park and the Keysborough Rural Fire Brigade.  His ancestors were early settlers in the Keysborough district as dairy farmers. [Corrigan Road is named after them.]  ","","","","","","","OGN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","City of Greater Dandenong",""
"VIC","WODONGA CITY","103760","ALAN CRACKNELL PARK","REGISTERED","PARK","PARK","146.8827778","-36.1405556","103603","Alan Cracknell was Wodonga High School principal for 14 years. He helped create many of Wodonga's educational institutions including the Albury Wodonga Community College and University of the Third Age. He received Wodonga's Community Service Award in 1993 and the Australian Centenary Medal in 2003.","","","","","","","Oral","","","","","","","","","","","","","","","","","","","","","","","","Wodonga Historical Society","","","","","","",""
"VIC","WODONGA CITY","103793","ALAN GOYNE PARK","REGISTERED","PARK","PARK","146.8505556","-36.1344444","103636","Alan Goyne was a member of the civil construction core and built Army huts at Bandiana.  Afterwards he and Arthur Dunstan became partners in their business, Goyne and Dunstan. Mr Dunstan supplied the materials and Mr Goyne built approximately 350 houses in Wodonga over a period of 23 years, many of these for public housing.","","","","","","","Oral","","","","","","","","","","","","","","","","","","","","","","","","Wodonga Historical Society","","","","","","",""
"VIC","WELLINGTON SHIRE","119669","ALAN LAY OVAL","REGISTERED","PARK","PARK","146.7777778","-37.9825","119274","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","MANNINGHAM CITY","127","ALAN MORTON RESERVE","REGISTERED","PARK","PARK","145.2068056","-37.7845833","9205","'The late Alan Patrick Morton was a resident of the area and very prominent in welfare work in the community through his local church.  Mr. Morton was also a Justice of the Peace, and while a local councillor (1972 - 74) he continued to be involved in welfare and community development.'","","","","","","","Manuscript","Place Names Committee Files","Submission","27","2","1979","","","1","","","","","","","PNC file number 702","","","","","","","","","","","","","","","",""
"VIC","WELLINGTON SHIRE","121809","ALAN SEMPLE MEMORIAL PARK","REGISTERED","PARK","PARK","146.7845102","-38.1563037","121204","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIC","KNOX CITY","136","ALBERNI RESERVE","REGISTERED","PARK","PARK","145.2718056","-37.9101389","9209","Named after the Alberni family who were local market gardeners. They originally migrated from Spain and were known in the area from the early 1920's to after the Second World War. The descendants still live locally. The Alberni brothers were closely associated with the Ferntree Gully Football Club. ","","","","","","","Council","","","","","","","","","","","","","","","","","","","","","","","","","","","City of Knox ","Yes","PNC 1294","",""
"VIC","LATROBE CITY","100001","ALBERT DEPPELER MEMORIAL TENNIS COURTS","RECORDED","PARK","PARK","146.3602778","-38.3602778","100001","Previously informally known as the Yinnar South Tennis Courts. Named after Albert Deppeler in recognition of his contribution to the Yinnar South district.","","","","19","6","2006","OGN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Latrobe City Council",""
